rank,username,ptcg_id,area,points
459,weichenghuang,tw37274871,彰化縣,0pt
460,Bacon,tw25275319,臺北市,0pt
461,Ian,tw92891852,新北市,0pt
462,LAI-BO-KAI,tw23930741,宜蘭縣,0pt
463,Leo,tw98129328,新竹縣,0pt
464,MorganTsai,tw68822994,新竹市,0pt
465,Raymond,tw49082254,臺中市,0pt
466,Wu,tw97442996,臺南市,0pt
467,Zhongchengen,tw62958507,臺中市,0pt
468,hungry_to_eat,tw05346170,雲林縣,0pt
469,israining,tw93660736,高雄市,0pt
470,jim,tw72244502,苗栗縣,0pt
471,kobee,tw79925801,嘉義縣,0pt
472,BNC_Blast,tw89606971,高雄市,0pt
473,Caspar,tw40870196,臺中市,0pt
474,HF_wei,tw15800518,桃園市,0pt
475,LCC..,tw32722359,雲林縣,0pt
476,SD,tw05197795,新北市,0pt
477,StoneMin,tw36240497,臺中市,0pt
478,Ting,tw76312809,新北市,0pt
479,callyshih,tw54739989,新北市,0pt
480,john1029,tw04057117,臺北市,0pt
481,張育銓,tw26157252,高雄市,0pt
482,AJin,tw18584107,臺中市,0pt
483,BNC-翔寶,tw09704151,高雄市,0pt
484,James,tw87713934,臺北市,0pt
485,Jun,tw27673402,桃園市,0pt
486,LSS,tw54378013,新北市,0pt
487,MAX,tw50797911,新北市,0pt
488,Nanaya,tw03168456,宜蘭縣,0pt
489,OP_FAN,tw63573774,臺中市,0pt
490,PJ,tw70654328,高雄市,0pt
491,RE,tw59037293,新北市,0pt
492,Ray,tw61690221,高雄市,0pt
493,Rayop,tw12619457,彰化縣,0pt
494,Rex,tw21941780,高雄市,0pt
495,SHIAO,tw23540064,桃園市,0pt
496,ShaoWeiChang,tw44744070,桃園市,0pt
497,Wowowo,tw06400208,臺中市,0pt
498,murphy0827,tw58776465,新北市,0pt
499,GZT-00,tw65824965,臺中市,0pt
500,Jeff,tw12134806,臺中市,0pt
501,Yen,tw81218142,新竹縣,0pt
502,asus,tw25961863,嘉義縣,0pt
503,A9_Weberlolz,tw00531440,桃園市,0pt
504,AddEgg0717,tw86324740,臺北市,0pt
505,BestDogeEver,tw84828731,新北市,0pt
506,Long,tw57612114,新北市,0pt
507,Maomao,tw79180495,新北市,0pt
508,MickLiau,tw98649601,苗栗縣,0pt
