rank,username,ptcg_id,area,points
513,Rookie,tw04564553,臺中市,34pt
513,SidLin,tw69346217,臺北市,34pt
513,UNAHAN,tw16526802,彰化縣,34pt
513,WANG-WEI-SHENG,tw03459753,臺南市,34pt
513,YHC,tw37950627,新北市,34pt
513,cheyu,tw24111275,新北市,34pt
513,chuyuan,tw49868105,新竹市,34pt
513,dented-Dusknoir,tw32830944,彰化縣,34pt
513,kiwi,tw17248165,桃園市,34pt
513,oa,tw79100139,高雄市,34pt
513,黑貓,tw43932173,彰化縣,34pt
534,BonBon,tw33785925,新竹市,33pt
534,Sora,tw35214784,臺中市,33pt
536,A-HAO,tw46541506,高雄市,32pt
536,BerryLee,tw50202065,高雄市,32pt
536,Hsinru,tw70529064,新北市,32pt
536,JerryChiang,tw28785208,基隆市,32pt
536,KJ,tw82289672,桃園市,32pt
536,Laby,tw81066465,新北市,32pt
536,Lee1196,tw39062068,臺北市,32pt
536,Long-N1ARK,tw34101256,高雄市,32pt
536,Mick,tw93739401,新北市,32pt
536,Ming,tw58028303,臺中市,32pt
536,PENG,tw41852657,臺中市,32pt
536,Pho1nix33,tw17729963,臺中市,32pt
536,Sho,tw04057494,基隆市,32pt
536,TCGSTORE_HoSu,tw14327392,臺中市,32pt
536,Tzuyi,tw09261132,高雄市,32pt
536,Wangtinglun,tw22611326,桃園市,32pt
536,YONSUN,tw36869316,基隆市,32pt
536,ZEO,tw41160256,南投縣,32pt
536,ZhangXuan,tw99229780,南投縣,32pt
536,castle116,tw51710380,桃園市,32pt
536,daGG,tw21954605,臺北市,32pt
536,vilian,tw94156469,高雄市,32pt
536,walkaway,tw09982553,新北市,32pt
536,yuchen0810,tw92224806,新北市,32pt
560,Alex-Jack,tw84834842,臺南市,31pt
560,ChuChiHsiang,tw37727633,臺北市,31pt
560,Ferdielee,tw99801052,臺中市,31pt
560,Godusopp,tw10449295,高雄市,31pt
560,Jerry,tw88288372,新北市,31pt
560,RONG,tw62217615,高雄市,31pt
560,roger606,tw09188186,臺南市,31pt
560,Yu,tw44853577,宜蘭縣,31pt
568,Andrew,tw49959381,臺北市,30pt
568,Avocado,tw59137487,新北市,30pt
568,Bunbear,tw97046858,桃園市,30pt
568,Henry,tw35659148,雲林縣,30pt
568,J,tw58490962,高雄市,30pt
568,Killden,tw97275186,新北市,30pt
568,Lucas,tw95547681,宜蘭縣,30pt
568,Msapiens,tw61792938,臺中市,30pt
568,OGSHIH,tw27714746,新北市,30pt
568,Panda,tw79476009,臺北市,30pt
568,Sam,tw87970697,桃園市,30pt
568,SuHua,tw02191971,臺中市,30pt
568,TAKOTIM,tw64656626,基隆市,30pt
568,Wally0714,tw33091415,高雄市,30pt
568,YINGCHIHCHIU,tw31401549,新竹市,30pt
568,boychen,tw23209128,臺北市,30pt
568,cat0924,tw50239297,臺南市,30pt
568,gavin-N1ARK,tw98858591,高雄市,30pt
568,pingping,tw37361150,高雄市,30pt
